name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Amsterdam,Netherlands",2024-01-01,9.1,6.4,8,5.3,2.5,4.1,5.1,82.4,14.26,100,37.5,rain,0,0,53.9,40.2,225.9,1000.1,88.7,20.5,20.6,1.8,2,,2024-01-01T08:50:34,2024-01-01T16:37:06,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-02,12.2,6.6,10.2,12.2,2.7,9,8.8,91.4,17.935,100,66.67,rain,0,0,91,62.5,205.1,987.8,100,12.9,7.4,0.6,1,,2024-01-02T08:50:27,2024-01-02T16:38:10,0.71,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-03,10.5,8.1,9.6,10.5,4.5,7.5,7.7,88,9.238,100,62.5,rain,0,0,106.8,58.1,248.3,987.8,96.3,15.4,10.2,1,1,,2024-01-03T08:50:16,2024-01-03T16:39:18,0.74,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-04,8.5,6.7,7.4,7.1,4,5.6,6.6,94.6,8.205,100,62.5,rain,0,0,28.1,17.7,235.3,1000.4,99.6,22.1,14.3,1.3,1,,2024-01-04T08:50:01,2024-01-04T16:40:29,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-05,8.5,5.5,7.1,5.7,2.3,4.3,6.1,93.7,8.285,100,58.33,rain,0,0,45,29.9,118.1,996.5,99.9,21.5,5.2,0.6,0,,2024-01-05T08:49:44,2024-01-05T16:41:42,0.8,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-06,5,1.4,3.7,1.2,-3.6,-0.2,1.8,87.9,0.098,100,8.33,rain,0,0,35.2,21.8,11,1011.1,99.3,29.8,9.3,0.8,1,,2024-01-06T08:49:22,2024-01-06T16:42:57,0.84,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"06260099999,D3248,06249099999,C0449,06240099999,06269099999,06257099999"
"Amsterdam,Netherlands",2024-01-07,1.3,-0.7,0.5,-2.9,-5.9,-4.9,-2.7,79.1,0.015,100,4.17,"rain,snow",0,0,48.8,31.7,52.5,1024.9,67.5,39.1,22,1.9,2,,2024-01-07T08:48:58,2024-01-07T16:44:15,0.87,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"06260099999,D3248,06249099999,C0449,06240099999,06269099999,06257099999,06344099999"
"Amsterdam,Netherlands",2024-01-08,0.1,-2,-0.8,-5.9,-9.1,-7.2,-5.4,71.7,0,0,0,,0,0,49.5,37.2,63,1032.8,57.5,44.3,22.9,1.8,2,,2024-01-08T08:48:30,2024-01-08T16:45:36,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06249099999,C0449,06240099999,06269099999,06257099999"
"Amsterdam,Netherlands",2024-01-09,-0.3,-4.1,-2.3,-6.6,-11.5,-9.1,-8.4,64,0,0,0,,0,0,46.1,30.7,64.6,1034,0,41.4,40,3.4,3,,2024-01-09T08:47:58,2024-01-09T16:46:59,0.93,Clear,Clear conditions throughout the day.,clear-day,"06260099999,D3248,06249099999,C0449,06240099999,06269099999,06257099999"
"Amsterdam,Netherlands",2024-01-10,0.3,-3.6,-2,-5.4,-9.6,-7.7,-8.4,62.2,0,0,0,,0,0,33.9,24.2,60.6,1031.1,0.1,41.8,39,3.4,2,,2024-01-10T08:47:24,2024-01-10T16:48:24,0.97,Clear,Clear conditions throughout the day.,clear-day,"06260099999,D3248,06249099999,C0449,06240099999,06269099999,06257099999"
