Start,End,Open,High,Low,Close,Volume,Market Cap
2023-12-31,2024-01-01,37100.9041846051,37694.17078259951,36977.382178671105,37174.6564186542,22825350707.305206,731910439496.2489
2023-12-30,2023-12-31,37039.794687585294,37479.209036563574,36572.16308778603,37152.43478337427,30594016263.905033,726109862996.9537
2023-12-29,2023-12-30,37473.67123601244,37887.51837863061,36698.41437539069,37027.90910611624,31014082955.47395,731231275147.4174
2023-12-28,2023-12-29,38241.00437565481,38500.50623772924,37260.03891427415,37498.622152963035,31118209903.51097,740038242927.5472
2023-12-27,2023-12-28,37425.46860005459,38407.71946506079,37112.99226116585,38196.07687770177,29646539917.820133,738226351479.7245
2023-12-26,2023-12-27,38364.96658830988,38364.96658830988,36733.70134615216,37435.0034776331,28343694802.52816,736382893906.3896
2023-12-25,2023-12-26,37833.46979741687,38496.614810314924,37650.00044020673,38398.246216423235,24222883364.049984,746958065848.8574
2023-12-24,2023-12-25,38475.94270269319,38674.6960372591,37725.89207892026,37873.53741316923,18441594555.91457,751912373357.4268
2023-12-23,2023-12-24,38700.12237746846,38716.8678411382,38166.85595555673,38498.12031730101,23689451646.33951,752865941432.9445
2023-12-22,2023-12-23,38616.4919045984,39053.898910928576,38236.311772008135,38693.193523678725,31635908335.28064,754925466509.3234
2023-12-21,2023-12-22,38440.60290712519,38919.56542792496,38118.477236910454,38605.6099944534,36900311517.69093,753656559272.9637
2023-12-20,2023-12-21,37215.8861801502,38984.67200197213,37175.78334786016,38426.48107551306,32216573879.423225,744105485376.4031
2023-12-19,2023-12-20,37556.46531611245,38134.870535203336,36842.32675664493,37241.62946919874,35321133560.19876,736112600653.7316
2023-12-18,2023-12-19,36426.79802435224,37606.83376913799,35797.63697032126,37563.77274768231,29230001499.750675,713473537007.7267
2023-12-17,2023-12-18,37222.12831145507,37345.72075046442,36359.728128329065,36492.03666041573,21485318327.465748,722965909668.2908
2023-12-16,2023-12-17,36919.785531285495,37591.80511168045,36736.07846244597,37192.72250248717,26013472004.2771,728624719756.068
2023-12-15,2023-12-16,37877.340799239326,37927.057746317674,36750.499634628424,36936.354912266805,33576481436.623196,731848194136.2754
2023-12-14,2023-12-15,37740.55976686652,38172.61385946841,36923.113494096826,37861.44933660847,37815134507.75901,738173146604.9332
2023-12-13,2023-12-14,36530.431490628005,38169.70849510931,35827.42135706928,37775.78510868704,33444797308.24787,717054467420.6472
2023-12-12,2023-12-13,36324.81973534772,37017.82837220359,35833.34653953496,36548.25986283159,43182665596.03501,715787192578.017
2023-12-11,2023-12-12,38552.8468168652,38566.00019369096,35546.86000545857,36291.62814857858,38616502126.022385,722335599913.6361
2023-12-10,2023-12-11,38486.04104487468,38767.23629416374,38394.847820536525,38529.251736615515,22433123426.065327,754829380952.9645
2023-12-09,2023-12-10,38888.77736985289,39041.37062764675,38412.420872841896,38475.16793886409,30769814401.870342,758255680218.3878
2023-12-08,2023-12-09,38100.0061628941,39278.77411232315,37972.22295590009,38913.68426613138,34997013565.24524,751988730200.5594
2023-12-07,2023-12-08,38532.67654490549,38778.646452374036,37867.55060176259,38077.87256895839,36189011173.544044,750162704788.3457
2023-12-06,2023-12-07,38801.83654244033,38975.89427995387,38257.48571529191,38486.85982937588,51559637064.33903,755648237085.3834
2023-12-05,2023-12-06,36969.9338809505,39102.67381562382,36482.48417456838,38813.62527843076,43605395400.09655,730195971787.5426
2023-12-04,2023-12-05,35192.0798006744,37317.47708724017,35192.0798006744,36973.66683394523,39795773948.88418,713444181714.2103
2023-12-03,2023-12-04,34735.594235052784,35312.09776110862,34589.89461451097,35164.654921951354,23114925704.107597,681002113706.5303
2023-12-02,2023-12-03,34056.645800868086,34910.770097637855,34020.61047868079,34741.11442733508,24968442438.03418,669739373202.578
2023-12-01,2023-12-02,33202.4686792918,34300.124138295345,33125.24761628061,34035.07567153536,25657764864.129047,661256575066.8969
2023-11-30,2023-12-01,33327.751512110095,33582.437512655946,33042.7000519444,33204.810579047924,24769328951.891644,650494593059.8873
2023-11-29,2023-11-30,33308.39122051716,33760.31624450842,33123.80373823548,33286.680225033684,60203429986.63117,653269996178.6052
2023-11-28,2023-11-29,32787.53862813978,33696.67996090964,32483.8840319414,33259.28175871389,66111478083.01223,644450541405.1779
2023-11-27,2023-11-28,32965.285297975934,33057.74631767078,32358.75086940828,32811.97890529393,54203204738.04888,639679531300.7247
2023-11-26,2023-11-27,33262.61852565965,33292.52617028957,32732.662458290415,32996.231830467594,33237734083.827305,647139105881.2972
2023-11-25,2023-11-26,33201.33294595142,33339.540248100515,33102.4184957256,33267.161459021154,61553322629.37676,649919275526.9122
2023-11-24,2023-11-25,32834.35021085902,33789.24663021755,32805.97448561845,33201.09523432204,56329227390.823845,647902555273.643
2023-11-23,2023-11-24,32932.128927744474,33134.38630781015,32498.657369500717,32834.49107700977,71524721313.82204,642293254021.1082
2023-11-22,2023-11-23,31491.64927850119,33279.55768028666,31491.64927850119,32970.40050007484,93379003831.60822,630926624123.9825
2023-11-21,2023-11-22,32970.43571661252,33105.50874690755,31643.987216396825,31643.987216396825,74216217634.24104,639043650485.0344
2023-11-20,2023-11-21,32883.43326025902,33205.18915682805,32494.220085752277,32985.47317820449,53095880190.50191,641665094312.1991
2023-11-19,2023-11-20,32193.955081306183,32998.195152443586,32047.058098483052,32917.34678605074,35501561032.696236,630488133929.0431
2023-11-18,2023-11-19,32242.42184129668,32405.58006039637,31895.767852583576,32187.396001162153,57432245152.28768,627914596432.3691
2023-11-17,2023-11-18,31841.147002632435,32285.799811591525,31643.652659288804,32147.42523088843,78771004869.51784,625600863201.4542
2023-11-16,2023-11-17,33330.61285579709,33341.11618816196,31296.10064886471,31891.69153834641,89245282004.02216,635629883084.7542
2023-11-15,2023-11-16,31299.771972918486,33335.67523308947,31158.166274882686,33335.67523308947,76584212183.93465,623679337045.7006
2023-11-14,2023-11-15,32105.860912284414,32340.526311155718,30946.55890406135,31289.92895063522,64335580554.127945,623189647313.1923
2023-11-13,2023-11-14,32631.71425301322,32872.6658038615,32059.58638176488,32162.98213641126,46106918187.29965,634269491678.048
2023-11-12,2023-11-13,32692.233873026777,32756.706549395603,32358.988581037655,32606.13824251869,45702663616.12886,637760357716.0565
2023-11-11,2023-11-12,32831.60332091951,32924.19640263068,32389.19556623791,32647.640932181755,67547247019.99921,637684718060.7434
2023-11-10,2023-11-11,32302.58049179895,32967.09894966676,32037.743324265077,32858.03333245292,107693014611.56467,635362285488.1392
2023-11-09,2023-11-10,31361.110377433244,33364.218236884044,31330.965021173946,32377.40683024749,95049049236.81912,629424558285.6077
2023-11-08,2023-11-09,31169.708495109306,31606.28791280386,30956.366709806927,31413.4069358971,65338994513.963486,608786880752.1049
2023-11-07,2023-11-08,30851.148499335293,31565.55118283546,30433.902960830408,31187.096660591815,53116956739.91035,601374828234.8928
2023-11-06,2023-11-07,30824.956199431257,31057.78153420847,30583.969432045295,30831.576908516243,55593478416.07753,601906249554.1104
2023-11-05,2023-11-06,30869.1089335552,31088.30546824789,30466.196525888558,30834.226952977122,37939776675.62549,602564889724.8782
2023-11-04,2023-11-05,30565.137388517654,30998.036678024004,30456.529586293727,30831.79701187678,49263838985.33085,597828761317.721
2023-11-03,2023-11-04,30752.154811899672,30752.154811899672,30049.162286609793,30576.785258357326,69933412493.12483,593762736096.3765
2023-11-02,2023-11-03,31185.494308127098,31591.629028992018,30334.944489932474,30742.320593750832,87193998967.29948,604424394739.1691
2023-11-01,2023-11-02,30500.136464083538,31270.013998573733,30102.73544456477,31191.516336071425,61577149209.30313,594761359227.5613
2023-10-31,2023-11-01,30352.02451071023,30519.505559810892,30012.93327346522,30506.35218298513,56096644493.466354,591237341407.3635
2023-10-30,2023-10-31,30393.940994691107,30661.577876971027,30006.206914767175,30362.615884419323,46228472890.55691,592151523212.1005
2023-10-29,2023-10-30,30006.250935439286,30565.181409189758,29897.651937349783,30405.58886453079,32373537300.913456,589718265254.667
2023-10-28,2023-10-29,29838.998793833587,30277.383059084546,29813.167463440837,30011.88558146906,48381101793.12706,585989312580.1788
2023-10-27,2023-10-28,30067.554123416357,30149.75832651013,29440.303566554856,29854.837431657907,60334747804.30696,583852275406.8123
2023-10-26,2023-10-27,30369.315830714102,30638.95125150771,29731.59715802541,30065.115378181596,75784058731.1894,590172065644.0789
2023-10-25,2023-10-26,29859.40677742268,30899.22787741123,29745.648556562166,30342.771365433215,106577812777.00316,590122722188.2163
2023-10-24,2023-10-25,29109.048008945003,30802.98988404955,28947.289647218335,29807.277497512834,152605324417.8083,586042854374.1233
2023-10-23,2023-10-24,26402.753933247055,29989.70796686124,26317.468283105747,29002.104188126745,52209234683.26393,531074280079.6341
2023-10-22,2023-10-23,26332.972363822053,26555.179912486903,26190.451035806418,26381.597598232132,37718159919.575455,514055713328.8206
2023-10-21,2023-10-22,26121.056848295964,26592.90562848314,25946.4972751204,26319.220305855633,47749099551.780914,512008396415.1675
2023-10-20,2023-10-21,25283.545953179615,26432.925701909622,25175.255099794867,26117.482369720823,57020497039.10846,505686274857.8469
2023-10-19,2023-10-20,24933.326290025798,25413.362915224992,24812.753669123023,25264.317723603006,38390510017.338036,489396525224.86316
2023-10-18,2023-10-19,25000.149670285165,25350.659869874897,24819.295140998216,24935.712210454032,45873609114.43736,488019880360.7977
2023-10-17,2023-10-18,25092.50504036696,25176.707781974415,24755.236258947207,25010.27442486992,66287448095.436455,487757459872.5621
2023-10-16,2023-10-17,23906.83464955143,25788.841640034163,23880.37822561475,25093.63196957291,40863666312.60596,479477459574.1294
2023-10-15,2023-10-16,23641.275542994994,24010.080733912648,23615.514645677613,23900.24915700413,18395967060.974087,462817239100.3731
2023-10-14,2023-10-15,23649.665883098707,23743.03372863897,23601.718567039083,23646.760518739604,25956344664.72817,461824260830.513
2023-10-13,2023-10-14,23559.564371428824,23820.42207020417,23504.441685815662,23631.811098491857,25524542061.776657,460709148210.67285
2023-10-12,2023-10-13,23662.264599455906,23708.415872093537,23399.100217462124,23540.890802320773,23928365175.032307,459794710703.0548
2023-10-11,2023-10-12,24113.75822086052,24182.932305010436,23373.330516010323,23634.22343132335,23076947516.552383,464052681627.1808
2023-10-10,2023-10-11,24289.5943935272,24394.275551799128,24037.68169532413,24114.823521125523,22640158012.774193,472752475967.7028
2023-10-09,2023-10-10,24578.510868703943,24629.522023542257,24035.251754223784,24285.412429676977,20386854633.518124,475333242579.8633
2023-10-08,2023-10-09,24613.392849282027,24735.206853138236,24420.670346794857,24592.095648116356,14807557012.392187,479473397980.7412
2023-10-07,2023-10-08,24593.275402128842,24663.734889904303,24532.720565577598,24615.144872031906,22966215201.340775,479653811431.45325
2023-10-06,2023-10-07,24131.991583247494,24849.64299234921,23989.18852293037,24592.588679643963,21332203552.015804,475783478783.8519
2023-10-05,2023-10-06,24462.745305195323,24714.481920709968,24100.76331845435,24143.22565876936,17334073687.856873,474547071141.5178
2023-10-04,2023-10-05,24147.34599367863,24492.952290395573,23995.976510569366,24456.652844175627,19514701948.7279,472505565004.0212
2023-10-03,2023-10-04,24209.15982145216,24355.343669387144,23995.43065423523,24140.258665469308,27502514213.382385,471926706796.8163
2023-10-02,2023-10-03,24643.714288229756,25073.26800665593,24100.64006057245,24307.449178134055,27752533373.83541,481516356300.7094
2023-10-01,2023-10-02,23738.173846438287,24646.20585827105,23738.173846438287,24632.295325885036,16582476253.818794,466422622641.34186
2023-09-30,2023-10-01,23689.275683861146,23842.3179525105,23671.561765405037,23742.20614000335,19192072934.68763,462960269129.40625
2023-09-29,2023-09-30,23789.99498164338,23973.032936266874,23509.63612512436,23692.533213597108,29559383346.88192,462775165650.66345
2023-09-28,2023-09-29,23216.79300599562,23978.024880483877,23181.91982955196,23789.04413512586,25508406408.449966,457996126198.6249
2023-09-27,2023-09-28,23079.941540547443,23602.598980481238,23042.6208147346,23214.77685921309,25079537938.08517,451939455383.10156
2023-09-26,2023-09-27,23159.05549245926,23231.038095489643,22999.98239173116,23082.133770018405,27117977046.606644,450494273120.35095
2023-09-25,2023-09-26,23112.296734546544,23260.505533398486,22916.34311472668,23162.313022195227,26174674174.282246,449741019393.3438
2023-09-24,2023-09-25,23397.841226239845,23514.724914820003,23101.00983421815,23114.47135574866,18100283816.081142,455797753127.80634
2023-09-23,2023-09-24,23401.47733375593,23447.83110148526,23352.87851174912,23401.970365283538,24198618520.692043,456094622917.11304
2023-09-22,2023-09-23,23391.282146095808,23535.766796087446,23328.711162762036,23399.285104284976,28851926657.84297,456670057967.75085
2023-09-21,2023-09-22,23881.188205981533,23892.92411716542,23258.647861035544,23381.12217497337,30564553490.435776,459535430591.6311
2023-09-20,2023-09-21,23953.927964572165,24075.601102277633,23631.74066541648,23878.432511907595,31388357323.28207,465402214345.0409
2023-09-19,2023-09-20,23567.954711532537,24177.103968023388,23486.22593169753,23957.106257098338,31555589119.658092,464048509925.20953
2023-09-18,2023-09-19,23355.581381016527,24119.55134130988,23255.900971096027,23541.146122218997,24155391190.807037,460755193940.43945
2023-09-17,2023-09-18,23391.079651004115,23427.89854115493,23269.37129676096,23358.60119912311,18621474753.383358,455117398247.3353
